instance	clients	chargeStations	batteryCapacity	loadCapacity	fs	usedEVs	time	f
instances\c101C10.txt	10	5	77.75	200.0	5	1	0	246,18
instances\c101C5.txt	5	3	77.75	200.0	3	1	0	182,12
instances\c101_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c102_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c103C15.txt	15	5	77.75	200.0	8	-	600	-
instances\c103C5.txt	5	2	77.75	200.0	3	1	0	147,29
instances\c103_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c104C10.txt	10	4	77.75	200.0	5	1	0	239,13
instances\c104_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c105_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c106C15.txt	15	3	77.75	200.0	8	-	600	-
instances\c106_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c107_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c108_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c109_21.txt	100	21	79.69	200.0	50	-	600	-
instances\c201_21.txt	100	21	118.31	700.0	50	-	600	-
instances\c202C10.txt	10	5	77.75	700.0	5	1	0	214,96
instances\c202C15.txt	15	5	77.75	700.0	8	1	5	312,58
instances\c202_21.txt	100	21	118.31	700.0	50	-	600	-
instances\c203_21.txt	100	21	118.23	700.0	50	-	600	-
instances\c204_21.txt	100	21	118.12	700.0	50	-	600	-
instances\c205C10.txt	10	3	77.75	700.0	5	1	0	224,78
instances\c205_21.txt	100	21	117.78	700.0	50	-	600	-
instances\c206C5.txt	5	4	77.75	700.0	3	1	0	190,84
instances\c206_21.txt	100	21	117.7	700.0	50	-	600	-
instances\c207_21.txt	100	21	117.66	700.0	50	-	600	-
instances\c208C15.txt	15	4	77.75	700.0	8	1	2	248,3
instances\c208C5.txt	5	3	77.75	700.0	3	1	0	155,01
instances\c208_21.txt	100	21	117.66	700.0	50	-	600	-
instances\r101_21.txt	100	21	62.14	200.0	50	-	600	-
instances\r102C10.txt	10	4	60.63	200.0	5	-	600	-
instances\r102C15.txt	15	8	60.63	200.0	8	-	600	-
instances\r102_21.txt	100	21	62.14	200.0	50	-	600	-
instances\r103C10.txt	10	3	60.63	200.0	5	-	600	-
instances\r103_21.txt	100	21	62.14	200.0	50	-	600	-
instances\r104C5.txt	5	3	60.63	200.0	3	1	0	136,45
instances\r104_21.txt	100	21	67.15	200.0	50	-	600	-
instances\r105C15.txt	15	6	60.63	200.0	8	-	600	-
instances\r105C5.txt	5	3	60.63	200.0	3	1	0	139,48
instances\r105_21.txt	100	21	62.14	200.0	50	-	600	-
instances\r106_21.txt	100	21	62.6	200.0	50	-	600	-
instances\r107_21.txt	100	21	66.28	200.0	50	-	600	-
instances\r108_21.txt	100	21	64.06	200.0	50	-	600	-
instances\r109_21.txt	100	21	65.17	200.0	50	-	600	-
instances\r110_21.txt	100	21	67.12	200.0	50	-	600	-
instances\r111_21.txt	100	21	65.8	200.0	50	-	600	-
instances\r112_21.txt	100	21	65.48	200.0	50	-	600	-
instances\r201C10.txt	10	4	60.63	1000.0	5	1	0	174,37
instances\r201_21.txt	100	21	187.86	1000.0	50	-	600	-
instances\r202C15.txt	15	6	60.63	1000.0	8	1	2	274,92
instances\r202C5.txt	5	3	60.63	1000.0	3	1	0	126,78
instances\r202_21.txt	100	21	238.34	1000.0	50	-	600	-
instances\r203C10.txt	10	5	60.63	1000.0	5	1	0	214,9
instances\r203C5.txt	5	4	60.63	1000.0	3	1	0	179,0
instances\r203_21.txt	100	21	187.9	1000.0	50	-	600	-
instances\r204_21.txt	100	21	247.66	1000.0	50	-	600	-
instances\r205_21.txt	100	21	198.88	1000.0	50	-	600	-
instances\r206_21.txt	100	21	181.23	1000.0	50	-	600	-
instances\r207_21.txt	100	21	267.18	1000.0	50	-	600	-
instances\r208_21.txt	100	21	218.03	1000.0	50	-	600	-
instances\r209C15.txt	15	5	60.63	1000.0	8	1	0	232,18
instances\r209_21.txt	100	21	181.83	1000.0	50	-	600	-
instances\r210_21.txt	100	21	187.87	1000.0	50	-	600	-
instances\r211_21.txt	100	21	265.71	1000.0	50	-	600	-
instances\rc101_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc102C10.txt	10	4	77.75	200.0	5	-	600	-
instances\rc102_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc103C15.txt	15	5	77.75	200.0	8	-	600	-
instances\rc103_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc104_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc105C5.txt	5	4	77.75	200.0	3	-	600	-
instances\rc105_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc106_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc107_21.txt	100	21	79.69	200.0	50	-	600	-
instances\rc108C10.txt	10	4	77.75	200.0	5	-	600	-
instances\rc108C15.txt	15	5	77.75	200.0	8	-	600	-
instances\rc108C5.txt	5	4	77.75	200.0	3	-	600	-
